epoch,accuracy,auc,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall
0,0.800000011920929,0.906632661819458,9.999999747378752e-06,0.3965676724910736,0.800000011920929,0.800000011920929,0.7666666507720947,0.8288888931274414,0.5437963604927063,0.699999988079071,0.9333333373069763
1,0.8714285492897034,0.9590816497802734,9.999999747378752e-06,0.26530811190605164,0.8823529481887817,0.8571428656578064,0.7666666507720947,0.8199999928474426,0.5426902770996094,0.699999988079071,0.9333333373069763
2,0.8357142806053162,0.9173469543457031,9.999999747378752e-06,0.3654691278934479,0.8405796885490417,0.8285714387893677,0.7666666507720947,0.8199999928474426,0.5431143045425415,0.699999988079071,0.9333333373069763
3,0.8071428537368774,0.8899999856948853,9.999999747378752e-06,0.45155924558639526,0.7945205569267273,0.8285714387893677,0.7666666507720947,0.8155555129051208,0.5448461771011353,0.699999988079071,0.9333333373069763
4,0.8500000238418579,0.9212245345115662,9.999999747378752e-06,0.3723703622817993,0.8656716346740723,0.8285714387893677,0.7666666507720947,0.8111110925674438,0.5449694395065308,0.699999988079071,0.9333333373069763
5,0.8285714387893677,0.8991836309432983,4.999999873689376e-06,0.41853955388069153,0.8833333253860474,0.7571428418159485,0.7666666507720947,0.8066666722297668,0.5446358919143677,0.699999988079071,0.9333333373069763
6,0.8428571224212646,0.9187754988670349,4.999999873689376e-06,0.3695417642593384,0.8333333134651184,0.8571428656578064,0.7666666507720947,0.8066666126251221,0.5452579855918884,0.699999988079071,0.9333333373069763
7,0.8500000238418579,0.9373469352722168,4.999999873689376e-06,0.3125056028366089,0.8656716346740723,0.8285714387893677,0.7666666507720947,0.81333327293396,0.5468537211418152,0.699999988079071,0.9333333373069763
8,0.800000011920929,0.8698979020118713,4.999999873689376e-06,0.4783998131752014,0.8181818127632141,0.7714285850524902,0.7666666507720947,0.8088889122009277,0.546347439289093,0.699999988079071,0.9333333373069763
9,0.8285714387893677,0.9086734652519226,4.999999873689376e-06,0.4018108546733856,0.8382353186607361,0.8142856955528259,0.7666666507720947,0.8088889122009277,0.5474833846092224,0.699999988079071,0.9333333373069763
